,distance_scalar,dataset,kt
0,0.0,1,0.6864935549829344
1,0.0,1,0.6656264959360768
2,0.0,1,0.6900501431752798
3,0.0,1,0.6594110971761663
4,0.0,1,0.6503492767796221
5,0.0,1,0.6781419430614855
6,0.0,1,0.675097623868691
7,0.0,1,0.6165854107661503
8,0.0,1,0.6789778541818169
9,0.0,1,0.6314383904626585
10,0.5,1,0.6821498192429835
11,0.5,1,0.6771041508464954
12,0.5,1,0.574496484005151
13,0.5,1,0.6919544775267709
14,0.5,1,0.6629947253582045
15,0.5,1,0.6925214645498651
16,0.5,1,0.7050546033130219
17,0.5,1,0.6839545774782265
18,0.5,1,0.6886717255446421
19,0.5,1,0.697467629876305
20,1.0,1,0.7052872584701042
21,1.0,1,0.6909943175347733
22,1.0,1,0.7103760108434581
23,1.0,1,0.7031177959872713
24,1.0,1,0.7039419203056927
25,1.0,1,0.7095906688904559
26,1.0,1,0.6966477002485247
27,1.0,1,0.674066702953621
28,1.0,1,0.7003129668529763
29,1.0,1,0.7027674156764377
30,2.0,1,0.6800099848381227
31,2.0,1,0.7089990624214079
32,2.0,1,0.7068174398737613
33,2.0,1,0.6777517308814542
34,2.0,1,0.7053898422922443
35,2.0,1,0.7084794094924256
36,2.0,1,0.701155648055187
37,2.0,1,0.7120901646527623
38,2.0,1,0.698506800722903
39,2.0,1,0.7069075653664956
40,0.0,2,0.5159630557228247
41,0.0,2,0.6922864074119128
42,0.0,2,0.5784270140024009
43,0.0,2,0.6136921527675561
44,0.0,2,0.6949977599041347
45,0.0,2,0.5699151959526453
46,0.0,2,0.5722894638673471
47,0.0,2,0.5178928852752311
48,0.0,2,0.5205853202944949
49,0.0,2,0.5479613867341951
50,0.5,2,0.34569712286205284
51,0.5,2,0.67831287671143
52,0.5,2,0.6335881916956275
53,0.5,2,0.5999539619864136
54,0.5,2,0.678595468996566
55,0.5,2,0.5269501225953841
56,0.5,2,0.5348405395367704
57,0.5,2,0.5153511803476678
58,0.5,2,0.5310753820856621
59,0.5,2,0.3561548656893846
60,1.0,2,0.33922668354457913
61,1.0,2,0.7117856282432832
62,1.0,2,0.45544723721172414
63,1.0,2,0.5327729769906311
64,1.0,2,0.5945700454876078
65,1.0,2,0.38481136556499324
66,1.0,2,0.48034577848216153
67,1.0,2,0.570232944814943
68,1.0,2,0.37523233803204614
69,1.0,2,0.3523272970062239
70,2.0,2,0.34063670651049344
71,2.0,2,0.7592879970327306
72,2.0,2,0.41235405770000916
73,2.0,2,0.5347950987700977
74,2.0,2,0.5811933528689294
75,2.0,2,0.5447592960414918
76,2.0,2,0.5101774844893812
77,2.0,2,0.5146213676958284
78,2.0,2,0.3414282154196857
79,2.0,2,0.3709557957842777
80,0.0,3,0.7707660754779829
81,0.0,3,0.7648679377981031
82,0.0,3,0.6897210775092828
83,0.0,3,0.7351111644133917
84,0.0,3,0.5526065728816422
85,0.0,3,0.714949585303267
86,0.0,3,0.7404461531311882
87,0.0,3,0.7861504597235394
88,0.0,3,0.6575183831440231
89,0.0,3,0.7751410080327769
90,0.5,3,0.7688777070491053
91,0.5,3,0.785811796560828
92,0.5,3,0.5281522358311262
93,0.5,3,0.7302886358700557
94,0.5,3,0.701274133968689
95,0.5,3,0.7278097748629084
96,0.5,3,0.7243872792709461
97,0.5,3,0.7962726347938371
98,0.5,3,0.7384463977325895
99,0.5,3,0.7786473540898443
100,1.0,3,0.7643276561751206
101,1.0,3,0.7763639368109356
102,1.0,3,0.4791962414434341
103,1.0,3,0.7481854668280911
104,1.0,3,0.5452129502460931
105,1.0,3,0.7610064458447687
106,1.0,3,0.6958226155802263
107,1.0,3,0.7949969724743459
108,1.0,3,0.7625492103114875
109,1.0,3,0.791869955594004
110,2.0,3,0.7591973929725242
111,2.0,3,0.7894030992866644
112,2.0,3,0.6998849228011427
113,2.0,3,0.652488855015544
114,2.0,3,0.6934044508436646
115,2.0,3,0.6742143041621377
116,2.0,3,0.7330546192461451
117,2.0,3,0.7931473517524171
118,2.0,3,0.7828351225248921
119,2.0,3,0.7882427632225909
120,0.0,4,0.8040479940767266
121,0.0,4,0.8020663067470438
122,0.0,4,0.8399398949302183
123,0.0,4,0.19457746573006066
124,0.0,4,0.834975166506278
125,0.0,4,0.4132543191395301
126,0.0,4,0.4835035911875353
127,0.0,4,0.21537718044877865
128,0.0,4,0.8331363912315701
129,0.0,4,0.34553089926853703
130,0.5,4,0.7976107245492672
131,0.5,4,0.8183042655039333
132,0.5,4,0.8207674118612173
133,0.5,4,0.42586534522523783
134,0.5,4,0.832969472476569
135,0.5,4,0.37883790289632163
136,0.5,4,0.24922368514091778
137,0.5,4,0.15672514555594957
138,0.5,4,0.8271627168272562
139,0.5,4,0.37189015832463124
140,1.0,4,0.7988736463807654
141,1.0,4,0.8236807218390467
142,1.0,4,0.8409120132853077
143,1.0,4,0.43223642185373423
144,1.0,4,0.8334691478621907
145,1.0,4,0.12420689133012595
146,1.0,4,0.3485757662757248
147,1.0,4,0.39226125486431396
148,1.0,4,0.819689102223391
149,1.0,4,0.3606353937302621
150,2.0,4,0.7990937679934144
151,2.0,4,0.843068382257813
152,2.0,4,0.8418571522428855
153,2.0,4,0.33428937160984923
154,2.0,4,0.8368242856336312
155,2.0,4,0.13541714091964527
156,2.0,4,0.13696908343057068
157,2.0,4,0.3880322369475569
158,2.0,4,0.835304737163079
159,2.0,4,0.10794711305260464
