,method,dataset,kt
0,k-means,1,0.8400391757285378
1,k-means,1,0.7959429386652096
2,k-means,1,0.7470719912717989
3,k-means,1,0.8332338526020624
4,k-means,1,0.7881302584928992
5,k-means,1,0.8054168710433157
6,k-means,1,0.8738578798021854
7,k-means,1,0.8205685446820078
8,k-means,1,0.7774524868989068
9,k-means,1,0.8725758844604219
10,k-means,1,0.8633030570779678
11,k-means,1,0.8744983809495196
12,k-means,1,0.8461888159213307
13,k-means,1,0.7642650413256752
14,k-means,1,0.8953210319089626
15,k-means,1,0.871279612278048
16,k-means,1,0.8476891662294254
17,k-means,1,0.8466488156037075
18,k-means,1,0.8462019459561966
19,k-means,1,0.7294198356188151
20,k-means,1,0.8167584490018858
21,k-means,1,0.83517111971803
22,k-means,1,0.8181456662825723
23,k-means,1,0.8426901196462587
24,k-means,1,0.8344783252577176
25,k-means,1,0.772163562204815
26,k-means,1,0.6510920932078061
27,k-means,1,0.8420468784094667
28,k-means,1,0.7234621627501281
29,k-means,1,0.8492693291224671
30,hier,1,0.8559997228240988
31,hier,1,0.8205601433465618
32,hier,1,0.7719159137764746
33,hier,1,0.8666737426935094
34,hier,1,0.8469574041643421
35,hier,1,0.8253514661255819
36,hier,1,0.8559997228240988
37,hier,1,0.8205601433465618
38,hier,1,0.7719159137764746
39,hier,1,0.8666737426935094
40,hier,1,0.8469574041643421
41,hier,1,0.8253514661255819
42,hier,1,0.8559997228240988
43,hier,1,0.8205601433465618
44,hier,1,0.7719159137764746
45,hier,1,0.8666737426935094
46,hier,1,0.8469574041643421
47,hier,1,0.8253514661255819
48,hier,1,0.8559997228240988
49,hier,1,0.8205601433465618
50,hier,1,0.7719159137764746
51,hier,1,0.8666737426935094
52,hier,1,0.8469574041643421
53,hier,1,0.8253514661255819
54,hier,1,0.8559997228240988
55,hier,1,0.8205601433465618
56,hier,1,0.7719159137764746
57,hier,1,0.8666737426935094
58,hier,1,0.8469574041643421
59,hier,1,0.8253514661255819
60,k-means,2,0.8699520304330046
61,k-means,2,0.7990546656386774
62,k-means,2,0.6574432237803244
63,k-means,2,0.8467853383847459
64,k-means,2,0.8678408733888434
65,k-means,2,0.8597192491143102
66,k-means,2,0.862511056275348
67,k-means,2,0.8396454621376652
68,k-means,2,0.8619014238232249
69,k-means,2,0.7614695650036508
70,k-means,2,0.8766423902333446
71,k-means,2,0.8693668016082676
72,k-means,2,0.6690938547769999
73,k-means,2,0.7374765936172935
74,k-means,2,0.8932455556824435
75,k-means,2,0.865940403250859
76,k-means,2,0.6952825927661763
77,k-means,2,0.6706013562368548
78,k-means,2,0.8741915199887403
79,k-means,2,0.7761482644293675
80,k-means,2,0.3575148418975532
81,k-means,2,0.8661735206698206
82,k-means,2,0.8652006250572207
83,k-means,2,0.7601910024769929
84,k-means,2,0.806274959839367
85,k-means,2,0.8853047424275876
86,k-means,2,0.7420818489530899
87,k-means,2,0.7543721431609501
88,k-means,2,0.8301530456787467
89,k-means,2,0.6214975935168846
90,hier,2,0.83772991588565
91,hier,2,0.8005249674774646
92,hier,2,0.7837252485438885
93,hier,2,0.6504400291846347
94,hier,2,0.8509392737917797
95,hier,2,0.8430978392477594
96,hier,2,0.83772991588565
97,hier,2,0.8005249674774646
98,hier,2,0.7837252485438885
99,hier,2,0.6504400291846347
100,hier,2,0.8509392737917797
101,hier,2,0.8430978392477594
102,hier,2,0.83772991588565
103,hier,2,0.8005249674774646
104,hier,2,0.7837252485438885
105,hier,2,0.6504400291846347
106,hier,2,0.8509392737917797
107,hier,2,0.8430978392477594
108,hier,2,0.83772991588565
109,hier,2,0.8005249674774646
110,hier,2,0.7837252485438885
111,hier,2,0.6504400291846347
112,hier,2,0.8509392737917797
113,hier,2,0.8430978392477594
114,hier,2,0.83772991588565
115,hier,2,0.8005249674774646
116,hier,2,0.7837252485438885
117,hier,2,0.6504400291846347
118,hier,2,0.8509392737917797
119,hier,2,0.8430978392477594
120,k-means,3,0.7665192114555788
121,k-means,3,0.7919794004503794
122,k-means,3,0.7282575574329193
123,k-means,3,0.7341946041513926
124,k-means,3,0.7794765708309513
125,k-means,3,0.724880430220453
126,k-means,3,0.8301654398049781
127,k-means,3,0.7303751673457388
128,k-means,3,0.7616706487085567
129,k-means,3,0.7601029432519927
130,k-means,3,0.7477647273840027
131,k-means,3,0.8018385766737066
132,k-means,3,0.7250814367146318
133,k-means,3,0.7403489854649233
134,k-means,3,0.7323312475600494
135,k-means,3,0.7639594771962338
136,k-means,3,0.7804712876967212
137,k-means,3,0.726642071329157
138,k-means,3,0.8486071003760635
139,k-means,3,0.7662433188279654
140,k-means,3,0.7571164432530705
141,k-means,3,0.8078011291689119
142,k-means,3,0.7602363554779022
143,k-means,3,0.6489475510272897
144,k-means,3,0.7901392517698917
145,k-means,3,0.7018763205083294
146,k-means,3,0.7356682548115008
147,k-means,3,0.8059670642984341
148,k-means,3,0.784874371957917
149,k-means,3,0.6444220857513822
150,hier,3,0.8691578259664
151,hier,3,0.7444224525949068
152,hier,3,0.7238729921456895
153,hier,3,0.821768703050348
154,hier,3,0.858116408418993
155,hier,3,0.7443490916978174
156,hier,3,0.8691578259664
157,hier,3,0.7444224525949068
158,hier,3,0.7238729921456895
159,hier,3,0.821768703050348
160,hier,3,0.858116408418993
161,hier,3,0.7443490916978174
162,hier,3,0.8691578259664
163,hier,3,0.7444224525949068
164,hier,3,0.7238729921456895
165,hier,3,0.821768703050348
166,hier,3,0.858116408418993
167,hier,3,0.7443490916978174
168,hier,3,0.8691578259664
169,hier,3,0.7444224525949068
170,hier,3,0.7238729921456895
171,hier,3,0.821768703050348
172,hier,3,0.858116408418993
173,hier,3,0.7443490916978174
174,hier,3,0.8691578259664
175,hier,3,0.7444224525949068
176,hier,3,0.7238729921456895
177,hier,3,0.821768703050348
178,hier,3,0.858116408418993
179,hier,3,0.7443490916978174
180,k-means,4,0.7840002492746426
181,k-means,4,0.7847458273679373
182,k-means,4,0.7784698651065711
183,k-means,4,0.7837736262633481
184,k-means,4,0.7846759689750759
185,k-means,4,0.7851230109064469
186,k-means,4,0.854729753432508
187,k-means,4,0.8420057899726354
188,k-means,4,0.6937947676117765
189,k-means,4,0.8450016785363886
190,k-means,4,0.8553762883695727
191,k-means,4,0.8544492984509179
192,k-means,4,0.870120833365095
193,k-means,4,0.8599868216758298
194,k-means,4,0.8624551443618268
195,k-means,4,0.8628680291992326
196,k-means,4,0.869158410241472
197,k-means,4,0.8235370916601755
198,k-means,4,0.769101569238447
199,k-means,4,0.773603826314148
200,k-means,4,0.8201261013514414
201,k-means,4,0.4067211621769865
202,k-means,4,0.7672709028798326
203,k-means,4,0.8119391310321658
204,k-means,4,0.8674546550173566
205,k-means,4,0.8495327691428323
206,k-means,4,0.8619888231509117
207,k-means,4,0.865084838384732
208,k-means,4,0.8647480696098068
209,hier,4,0.853081231177233
210,hier,4,0.8487880917354597
211,hier,4,0.855427523984231
212,hier,4,0.849356176038766
213,hier,4,0.8496082376980587
214,hier,4,0.8539757000485498
215,hier,4,0.853081231177233
216,hier,4,0.8487880917354597
217,hier,4,0.855427523984231
218,hier,4,0.849356176038766
219,hier,4,0.8496082376980587
220,hier,4,0.8539757000485498
221,hier,4,0.853081231177233
222,hier,4,0.8487880917354597
223,hier,4,0.855427523984231
224,hier,4,0.849356176038766
225,hier,4,0.8496082376980587
226,hier,4,0.8539757000485498
227,hier,4,0.853081231177233
228,hier,4,0.8487880917354597
229,hier,4,0.855427523984231
230,hier,4,0.849356176038766
231,hier,4,0.8496082376980587
232,hier,4,0.8539757000485498
233,hier,4,0.853081231177233
234,hier,4,0.8487880917354597
235,hier,4,0.855427523984231
236,hier,4,0.849356176038766
237,hier,4,0.8496082376980587
238,hier,4,0.8539757000485498
